CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN FRANCISCO,ZONA NORTE,9000030356,30356,COLMADO SEBASTIAN,"C/PRINCIPAL #56, CRUCE SAN RAFAEL",DEYBI VARGAS,DUARTE,DUARTE,SAN FRANCISCO DE MACORÍS (CENTRO),TRADICIONAL,337,ROBINSON CAMILO DE JESÚS,ROBINSON CAMILO DE JESÚS,DANIEL REYES GARCIA,DANIEL REYES GARCIA,19.1915955543518,-69.9658737182617,337 SAN FRANCISCO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1154001074,Ultima Aprobada,Elegible,19.1792248,-69.9790412,19.1792248-69.9790412,ELEGIBLE,NO,S,S PANEL,NGUA106,SAN FRANCISCO,NGUA106-NAGUA,3.0,Día 3,,,SUPLENTE,9000030356,,3.0,JORGE LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,NAGUA,ZONA ESTE,9000040970,40970,COLMADO OLGA,"C/27 DE FEBRERO #19 , EL MANGU",SAUL GIL,DUARTE,DUARTE,CENTRO DEL PUEBLO,TRADICIONAL,304,JOAQUIN CUELLO FROMETA,JOAQUIN CUELLO FROMETA,RICHARD PAREDES,RICHARD PAREDES,19.1840740203857,-69.9208419799805,304 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152000454,Ultima Aprobada,Elegible,19.18408318333333,-69.92062941666667,19.1840831833333-69.9206294166667,ELEGIBLE,NO,S,S PANEL,NGUA106,NAGUA,NGUA106-NAGUA,2.0,Día 2,,,SUPLENTE,9000040970,,2.0,JORGE LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Bronce,NAGUA,ZONA ESTE,9000071862,71862,COLMADO POLANCO,C SAN ANTONIO ESQ 19 DE MARZO VILLA RIVAS,SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,CENTRO DEL PUEBLO,TRADICIONAL,304,JOAQUIN CUELLO FROMETA,JOAQUIN CUELLO FROMETA,RICHARD PAREDES,RICHARD PAREDES,19.1790278298514,-69.911744253976,304 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152007193,Ultima Aprobada,Elegible,19.1790974187004,-69.9118006331013,19.1790974187004-69.9118006331013,ELEGIBLE,NO,S,S PANEL,NGUA106,NAGUA,NGUA106-NAGUA,2.0,Día 2,,,SUPLENTE,9000071862,,2.0,JORGE LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,NAGUA,ZONA ESTE,9000111483,111483,COLMADO RAYNELY,CALLE LOS ESTUDIANTE ARENOSO,SAUL GIL,DUARTE,DUARTE,ARENOSO,TRADICIONAL,314,JOSE LUIS FEBLES BELTRAN,JOSE LUIS FEBLES BELTRAN,LEONEL ALMONTE ORTEGA,LEONEL ALMONTE ORTEGA,19.1872177124023,-69.8630676269531,314 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152008706,Ultima Aprobada,Elegible,19.18728465,-69.86326771666667,19.18728465-69.8632677166667,ELEGIBLE,NO,S,S PANEL,NGUA106,NAGUA,NGUA106-NAGUA,1.0,Día 1,,,SUPLENTE,9000111483,,1.0,JORGE LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,NAGUA,ZONA ESTE,9000136413,136413,COLMADO CACERES,CALLE LUIS MOLINA VILLA RIVAS,SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,CENTRO DEL PUEBLO,TRADICIONAL,304,JOAQUIN CUELLO FROMETA,JOAQUIN CUELLO FROMETA,RICHARD PAREDES,RICHARD PAREDES,19.18128,-69.91019,304 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152010219,Ultima Aprobada,Elegible,19.18131893333333,-69.91020336666666,19.1813189333333-69.9102033666667,ELEGIBLE,NO,S,S PANEL,NGUA106,NAGUA,NGUA106-NAGUA,2.0,Día 2,,,SUPLENTE,9000136413,,2.0,JORGE LUIS,Cargar
